title_key,author_key,title,author,genre,first_year,last_year,appear_count,avg_rating,avg_reviews,max_reviews,avg_price,title_length,title_word_count,has_colon,has_number,duration,is_multi_year_bestseller,is_long_seller,has_reentry
what to expect when youre expecting,heidi murkoff,What to Expect When You're Expecting,Heidi Murkoff,Non Fiction,2011,2022,2,4.6,15196.5,27052.0,11.0,36,6,0,0,12,1,0,1
the shack where tragedy confronts eternity,william p young,The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,2009,2017,2,4.6,19720.0,19720.0,8.0,43,6,1,0,9,1,0,1
fahrenheit 451,ray bradbury,Fahrenheit 451,Ray Bradbury,Fiction,2016,2018,2,4.6,10721.0,10721.0,8.0,14,2,0,1,3,1,0,1
the midnight library a novel,matt haig,The Midnight Library: A Novel,Matt Haig,Fiction,2021,2022,2,4.3,144313.5,144314.0,13.0,29,5,1,0,2,1,0,0
the girl on the train,paula hawkins,The Girl on the Train,Paula Hawkins,Fiction,2015,2016,2,4.1,79446.0,79446.0,12.5,21,5,0,0,2,1,0,0
the last thing he told me a novel,laura dave,The Last Thing He Told Me: A Novel,Laura Dave,Fiction,2021,2022,2,4.3,77903.0,77903.0,14.0,34,8,1,0,2,1,0,0
it ends with us a novel 1,colleen hoover,It Ends with Us: A Novel (1),Colleen Hoover,Fiction,2021,2022,2,4.7,76136.0,76137.0,11.0,28,7,1,1,2,1,0,0
the alchemist 25th anniversary a fable about following your dream,paulo coelho,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,Fiction,2021,2022,2,4.7,71252.0,71252.0,9.0,67,10,1,1,2,1,0,0
rich dad poor dad what the rich teach their kids about money that the poor and middle class do not,robert t kiyosaki,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Non Fiction,2021,2022,2,4.7,71078.0,71078.0,10.0,100,20,1,0,2,1,0,0
the silent patient,alex michaelides,The Silent Patient,Alex Michaelides,Fiction,2019,2020,2,4.5,65040.0,102544.0,17.0,18,3,0,0,2,1,0,0
the seven husbands of evelyn hugo a novel,taylor jenkins reid,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Fiction,2021,2022,2,4.6,60969.0,60969.0,9.0,42,8,1,0,2,1,0,0
greenlights,matthew mcconaughey,Greenlights,Matthew McConaughey,Non Fiction,2020,2021,2,4.7,52217.0,52217.0,16.0,11,1,0,0,2,1,0,0
untamed,glennon doyle,Untamed,Glennon Doyle,Non Fiction,2020,2021,2,4.6,49978.0,49978.0,16.0,7,1,0,0,2,1,0,0
the nightingale a novel,kristin hannah,The Nightingale: A Novel,Kristin Hannah,Fiction,2015,2016,2,4.8,49288.0,49288.0,11.0,24,4,1,0,2,1,0,0
fifty shades of grey book one of the fifty shades trilogy fifty shades of grey series,e l james,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,2012,2013,2,3.8,47265.0,47265.0,14.0,88,16,1,0,2,1,0,0
the 48 laws of power,robert greene,The 48 Laws of Power,Robert Greene,Non Fiction,2021,2022,2,4.7,38568.0,38568.0,12.0,20,5,0,1,2,1,0,0
caste oprahs book club the origins of our discontents,isabel wilkerson,Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,Non Fiction,2020,2021,2,4.8,38318.5,38319.0,15.0,57,9,1,0,2,1,0,0
all the light we cannot see,anthony doerr,All the Light We Cannot See,Anthony Doerr,Fiction,2014,2015,2,4.6,36348.0,36348.0,14.0,27,6,0,0,2,1,0,0
the goldfinch a novel pulitzer prize for fiction,donna tartt,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Fiction,2013,2014,2,3.9,33844.0,33844.0,20.0,51,8,1,0,2,1,0,0
the hunger games book 1,suzanne collins,The Hunger Games (Book 1),Suzanne Collins,Fiction,2011,2012,2,4.7,32122.0,32122.0,8.0,25,5,0,1,2,1,0,0
divergent,veronica roth,Divergent,Veronica Roth,Fiction,2013,2014,2,4.6,27098.0,27098.0,15.0,9,1,0,0,2,1,0,0
how to catch a mermaid,adam wallace,How to Catch a Mermaid,Adam Wallace,Fiction,2020,2021,2,4.8,26660.0,26660.0,5.0,22,5,0,0,2,1,0,0
