title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
i am confident brave beautiful a coloring book for girls,hopscotch girls,2020,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,29913.0,7.0,Non Fiction,60,11,1,0,10.306081877219272,high,high
i am confident brave beautiful a coloring book for girls,hopscotch girls,2021,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,29913.0,7.0,Non Fiction,60,11,1,0,10.306081877219272,high,high
i love you to the moon and back,amelia hepworth,2020,I Love You to the Moon and Back,Amelia Hepworth,4.9,51188.0,4.0,Fiction,31,8,0,0,10.843279944195375,high,very_high
i love you to the moon and back,amelia hepworth,2021,I Love You to the Moon and Back,Amelia Hepworth,4.9,51188.0,4.0,Fiction,31,8,0,0,10.843279944195375,high,very_high
i love you to the moon and back,amelia hepworth,2022,I Love You to the Moon and Back,Amelia Hepworth,4.9,51188.0,4.0,Fiction,31,8,0,0,10.843279944195375,high,very_high
if animals kissed good night,ann whitford paul,2017,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643.0,4.0,Fiction,28,5,0,0,9.719805070102831,middle,high
if animals kissed good night,ann whitford paul,2019,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643.0,4.0,Fiction,28,5,0,0,9.719805070102831,middle,high
if animals kissed good night,ann whitford paul,2020,If Animals Kissed Good Night,Ann Whitford Paul,4.8,63659.0,4.0,Fiction,28,5,0,0,11.061311700836084,high,high
if animals kissed good night,ann whitford paul,2021,If Animals Kissed Good Night,Ann Whitford Paul,4.8,63658.0,4.0,Fiction,28,5,0,0,11.061295992261558,high,high
if animals kissed good night,ann whitford paul,2022,If Animals Kissed Good Night,Ann Whitford Paul,4.8,63658.0,4.0,Fiction,28,5,0,0,11.061295992261558,high,high
if i stay,gayle forman,2014,If I Stay,Gayle Forman,4.3,7153.0,9.0,Fiction,9,3,0,0,8.875426919818963,middle,normal
in the garden of beasts love terror and an american family in hitlers berlin,eric larson,2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571.0,21.0,Non Fiction,80,14,1,0,8.427706024914702,low,normal
inferno,dan brown,2013,Inferno,Dan Brown,4.1,29651.0,14.0,Fiction,7,1,0,0,10.29728485577661,high,normal
inheritance book iv inheritance cycle,christopher paolini,2011,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299.0,20.0,Fiction,40,5,1,0,8.575462099540212,low,high
instant pot pressure cooker cookbook 500 everyday recipes for beginners and advanced users try easy and healthy,jennifer smith,2018,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396.0,13.0,Non Fiction,114,17,1,1,8.908829791587868,middle,normal
instant pot pressure cooker cookbook 500 everyday recipes for beginners and advanced users try easy and healthy,jennifer smith,2019,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396.0,13.0,Non Fiction,114,17,1,1,8.908829791587868,middle,normal
it ends with us a novel 1,colleen hoover,2021,It Ends with Us: A Novel (1),Colleen Hoover,4.7,76135.0,11.0,Fiction,28,7,1,1,11.24027649375218,high,high
it ends with us a novel 1,colleen hoover,2022,It Ends with Us: A Novel (1),Colleen Hoover,4.7,76137.0,11.0,Fiction,28,7,1,1,11.24030276218934,high,high
its not supposed to be this way finding unexpected strength when disappointments leave you shattered,lysa terkeurst,2019,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062.0,12.0,Non Fiction,102,15,1,0,8.862625169408922,middle,high
jesus calling enjoying peace in his presence with scripture references,sarah young,2011,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
jesus calling enjoying peace in his presence with scripture references,sarah young,2012,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
jesus calling enjoying peace in his presence with scripture references,sarah young,2013,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
jesus calling enjoying peace in his presence with scripture references,sarah young,2014,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
jesus calling enjoying peace in his presence with scripture references,sarah young,2015,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
jesus calling enjoying peace in his presence with scripture references,sarah young,2016,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,Non Fiction,73,10,1,0,9.882110686776542,high,very_high
journey to the ice p,rh disney,2014,JOURNEY TO THE ICE P,RH Disney,4.6,978.0,0.0,Fiction,20,5,0,0,6.88653164253051,low,high
joyland hard case crime,stephen king,2013,Joyland (Hard Case Crime),Stephen King,4.5,4748.0,12.0,Fiction,25,4,0,0,8.465689348549121,low,normal
killers of the flower moon the osage murders and the birth of the fbi,david grann,2017,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393.0,17.0,Non Fiction,70,14,1,0,9.035272443893536,middle,high
killing jesus bill oreillys killing series,bill oreilly,2013,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391.0,12.0,Non Fiction,46,6,0,0,9.340666633651757,middle,normal
killing kennedy the end of camelot,bill oreilly,2012,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634.0,25.0,Non Fiction,35,6,1,0,9.06357899058078,middle,high
killing lincoln the shocking assassination that changed america forever bill oreillys killing series,bill oreilly,2011,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342.0,10.0,Non Fiction,105,13,1,0,9.142382678792956,middle,high
killing lincoln the shocking assassination that changed america forever bill oreillys killing series,bill oreilly,2012,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342.0,10.0,Non Fiction,105,13,1,0,9.142382678792956,middle,high
killing patton the strange death of world war iis most audacious general bill oreillys killing series,bill oreilly,2014,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927.0,6.0,Non Fiction,107,16,1,0,9.29908358181057,middle,high
killing reagan the violent assault that changed a presidency bill oreillys killing series,bill oreilly,2015,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235.0,5.0,Non Fiction,94,13,1,0,8.56331312702979,low,high
killing the rising sun how america vanquished world war ii japan bill oreillys killing series,bill oreilly,2016,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916.0,6.0,Non Fiction,98,15,1,0,9.095714846134879,middle,high
kitchen confidential updated edition adventures in the culinary underbelly ps,anthony bourdain,2018,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507.0,8.0,Non Fiction,82,10,1,0,7.827240901752812,low,high
knockknock jokes for kids,rob elliott,2013,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673.0,4.0,Non Fiction,26,4,0,0,8.20903626577507,low,normal
knockknock jokes for kids,rob elliott,2014,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673.0,4.0,Non Fiction,26,4,0,0,8.20903626577507,low,normal
knockknock jokes for kids,rob elliott,2015,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673.0,4.0,Non Fiction,26,4,0,0,8.20903626577507,low,normal
last week tonight with john oliver presents a day in the life of marlon bundo better bundo book lgbt childrens book,jill twiss,2018,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881.0,13.0,Fiction,119,21,0,0,9.382779928915687,middle,very_high
laughoutloud jokes for kids,rob elliott,2013,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,Non Fiction,29,4,0,0,8.852378886511985,middle,high
laughoutloud jokes for kids,rob elliott,2014,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,Non Fiction,29,4,0,0,8.852378886511985,middle,high
laughoutloud jokes for kids,rob elliott,2015,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,Non Fiction,29,4,0,0,8.852378886511985,middle,high
laughoutloud jokes for kids,rob elliott,2016,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,Non Fiction,29,4,0,0,8.852378886511985,middle,high
laughoutloud jokes for kids,rob elliott,2017,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,Non Fiction,29,4,0,0,8.852378886511985,middle,high
lean in women work and the will to lead,sheryl sandberg,2013,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132.0,13.0,Non Fiction,42,9,1,0,8.721439305625983,low,normal
leonardo da vinci,walter isaacson,2017,Leonardo da Vinci,Walter Isaacson,4.5,3014.0,21.0,Non Fiction,17,3,0,0,8.011355109161286,low,normal
lettering and modern calligraphy a beginners guide learn hand lettering and brush lettering,paper peony press,2018,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550.0,6.0,Non Fiction,94,13,1,0,8.929435283803425,middle,normal
liberty and tyranny a conservative manifesto,mark r levin,2009,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828.0,15.0,Non Fiction,45,6,1,0,8.250358951477294,low,high
life,keith richards,2010,Life,Keith Richards,4.5,2752.0,18.0,Non Fiction,4,1,0,0,7.920446505142607,low,normal
life force how new breakthroughs in precision medicine can transform the quality of your life those you love,tony robbins,2022,Life Force: How New Breakthroughs in Precision Medicine Can Transform the Quality of Your Life & Those You Love,Tony Robbins,4.5,1213.0,20.0,Non Fiction,111,19,1,0,7.101675971619444,low,normal
little bee a novel,chris cleave,2010,Little Bee: A Novel,Chris Cleave,4.1,1467.0,10.0,Fiction,19,4,1,0,7.291656209174461,low,normal
little blue truck,alice schertle,2014,Little Blue Truck,Alice Schertle,4.9,1884.0,0.0,Fiction,17,3,0,0,7.541683099882111,low,very_high
little blue trucks valentine,alice schertle,2022,Little Blue Truck's Valentine,Alice Schertle,4.9,6959.0,11.0,Fiction,29,4,0,0,8.847934753328465,middle,very_high
little fires everywhere,celeste ng,2018,Little Fires Everywhere,Celeste Ng,4.5,25706.0,12.0,Fiction,23,3,0,0,10.154518607337229,high,normal
little fires everywhere a novel,celeste ng,2020,Little Fires Everywhere: A Novel,Celeste Ng,4.5,53363.0,10.0,Fiction,32,5,1,0,10.884891640298697,high,normal
live free or die america and the world on the brink,sean hannity,2020,Live Free Or Die: America (and the World) on the Brink,Sean Hannity,4.8,23944.0,13.0,Non Fiction,54,11,1,0,10.08351481277671,high,high
llama llama i love you,anna dewdney,2022,Llama Llama I Love You,Anna Dewdney,4.8,9361.0,5.0,Fiction,22,5,0,0,9.144414221860016,middle,high
looking for alaska,john green,2014,Looking for Alaska,John Green,4.5,8491.0,7.0,Fiction,18,3,0,0,9.046879822823147,middle,normal
love wins a book about heaven hell and the fate of every person who ever lived,rob bell,2011,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649.0,13.0,Non Fiction,81,16,1,0,7.408530566894626,low,normal
love you forever,robert munsch,2014,Love You Forever,Robert Munsch,4.8,18613.0,5.0,Fiction,16,3,0,0,9.831669264745656,middle,high
love you forever,robert munsch,2015,Love You Forever,Robert Munsch,4.8,18613.0,5.0,Fiction,16,3,0,0,9.831669264745656,middle,high
magnolia table a collection of recipes for gathering,joanna gaines,2018,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867.0,16.0,Non Fiction,53,8,1,0,9.197052477649247,middle,high
magnolia table volume 2 a collection of recipes for gathering,joanna gaines,2020,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,4.9,24352.0,17.0,Non Fiction,63,10,1,1,10.100410324207255,high,very_high
make it ahead a barefoot contessa cookbook,ina garten,2014,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386.0,20.0,Non Fiction,43,7,1,0,7.234898420314831,low,normal
make your bed little things that can change your lifeand maybe the world,admiral william h mcraven,2017,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199.0,11.0,Non Fiction,76,13,1,0,9.230142999272362,middle,high
mastering the art of french cooking vol 2,julia child,2009,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926.0,27.0,Non Fiction,43,8,0,1,7.9817332866918855,low,high
maus i a survivors tale my father bleeds history,art spiegelman,2022,Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,4.7,2438.0,14.0,Fiction,51,9,1,0,7.79934339821592,low,high
midnight sun,stephenie meyer,2020,Midnight Sun,Stephenie Meyer,4.8,79334.0,14.0,Fiction,12,2,0,0,11.28143467216819,high,high
milk and honey,rupi kaur,2016,Milk and Honey,Rupi Kaur,4.7,17739.0,8.0,Non Fiction,14,3,0,0,9.78357725586357,middle,high
milk and honey,rupi kaur,2017,Milk and Honey,Rupi Kaur,4.7,17739.0,8.0,Non Fiction,14,3,0,0,9.78357725586357,middle,high
milk and honey,rupi kaur,2018,Milk and Honey,Rupi Kaur,4.7,17739.0,8.0,Non Fiction,14,3,0,0,9.78357725586357,middle,high
milk and vine inspirational quotes from classic vines,adam gasiewski,2017,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113.0,6.0,Non Fiction,54,8,1,0,8.043663352393944,low,normal
mindset the new psychology of success,carol s dweck,2014,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542.0,10.0,Non Fiction,38,6,1,0,8.620291149419804,low,high
mindset the new psychology of success,carol s dweck,2015,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542.0,10.0,Non Fiction,38,6,1,0,8.620291149419804,low,high
mindset the new psychology of success,carol s dweck,2016,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542.0,10.0,Non Fiction,38,6,1,0,8.620291149419804,low,high
mockingjay the hunger games,suzanne collins,2010,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,Fiction,29,4,0,0,10.193990642174612,high,normal
mockingjay the hunger games,suzanne collins,2011,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,Fiction,29,4,0,0,10.193990642174612,high,normal
mockingjay the hunger games,suzanne collins,2012,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,Fiction,29,4,0,0,10.193990642174612,high,normal
modern comfort food a barefoot contessa cookbook,ina garten,2020,Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,4.8,16097.0,19.0,Non Fiction,49,7,1,0,9.686450319653678,middle,high
my first learntowrite workbook practice for kids with pen control line tracing letters and more,crystal radke,2020,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,69801.0,5.0,Non Fiction,102,15,1,0,11.153417941635094,high,high
my first learntowrite workbook practice for kids with pen control line tracing letters and more,crystal radke,2021,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,69801.0,5.0,Non Fiction,102,15,1,0,11.153417941635094,high,high
my first learntowrite workbook practice for kids with pen control line tracing letters and more,crystal radke,2022,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,69801.0,5.0,Non Fiction,102,15,1,0,11.153417941635094,high,high
my first library boxset of 10 board books for kids,wonder house books,2021,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6,39852.0,16.0,Non Fiction,52,11,1,1,10.592952963693447,high,high
my little golden book about betty white,deborah hopkinson,2022,My Little Golden Book About Betty White,Deborah Hopkinson,4.9,4910.0,6.0,Non Fiction,39,7,0,0,8.499232866039245,low,very_high
national geographic kids why over 1111 answers to everything,crispin boyer,2019,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347.0,16.0,Non Fiction,63,9,1,1,8.584477938221834,low,high
national geographic little kids first big book of why national geographic little kids first big books,amy shields,2019,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866.0,11.0,Non Fiction,103,16,0,0,8.970432074329242,middle,high
new moon the twilight saga,stephenie meyer,2009,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680.0,10.0,Fiction,28,5,0,0,8.644882552557126,low,high
night night,elie wiesel,2016,Night (Night),Elie Wiesel,4.7,5178.0,9.0,Non Fiction,13,2,0,0,8.552367266423891,low,high
no easy day the autobiography of a navy seal the firsthand account of the mission that killed osama bin laden,mark owen,2012,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093.0,14.0,Non Fiction,111,20,1,0,8.998878325435811,middle,high
november 9 a novel,colleen hoover,2022,November 9: A Novel,Colleen Hoover,4.7,17592.0,13.0,Fiction,19,4,1,1,9.775256374639046,middle,high
obama an intimate portrait,pete souza,2017,Obama: An Intimate Portrait,Pete Souza,4.9,3192.0,22.0,Non Fiction,27,4,1,0,8.068716192714781,low,very_high
oh the places youll go,dr seuss,2012,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2013,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2014,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2015,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2016,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2017,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2018,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2019,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,Fiction,25,5,0,0,9.991269465919661,high,very_high
oh the places youll go,dr seuss,2021,"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,35287.0,9.0,Fiction,27,5,0,0,10.471298241784776,high,very_high
old school diary of a wimpy kid 10,jeff kinney,2015,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169.0,7.0,Fiction,37,8,0,1,8.727454116899434,low,high
olive kitteridge,elizabeth strout,2009,Olive Kitteridge,Elizabeth Strout,4.2,4519.0,12.0,Fiction,16,2,0,0,8.416267272826277,low,normal
one thousand gifts a dare to live fully right where you are,ann voskamp,2011,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,Non Fiction,60,12,1,0,8.059592328887545,low,high
one thousand gifts a dare to live fully right where you are,ann voskamp,2012,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,Non Fiction,60,12,1,0,8.059592328887545,low,high
option b facing adversity building resilience and finding joy,sheryl sandberg,2017,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831.0,9.0,Non Fiction,64,9,1,0,7.513163545234075,low,normal
origin a novel robert langdon,dan brown,2017,Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904.0,13.0,Fiction,32,5,1,0,9.847181716325034,middle,normal
orphan train,christina baker kline,2014,Orphan Train,Christina Baker Kline,4.6,21930.0,11.0,Fiction,12,2,0,0,9.995656440007505,high,high
outliers the story of success,malcolm gladwell,2009,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426.0,20.0,Non Fiction,30,5,1,0,9.252153874789594,middle,high
outliers the story of success,malcolm gladwell,2010,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426.0,20.0,Non Fiction,30,5,1,0,9.252153874789594,middle,high
p is for potty sesame street lifttheflap,naomi kleinberg,2018,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820.0,5.0,Non Fiction,47,7,0,0,9.289243969571649,middle,high
p is for potty sesame street lifttheflap,naomi kleinberg,2019,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820.0,5.0,Non Fiction,47,7,0,0,9.289243969571649,middle,high
paint by sticker kids unicorns magic create 10 pictures one sticker at a time includes glitter stickers,workman publishing,2020,Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8,17639.0,7.0,Non Fiction,108,18,1,1,9.777924329560783,middle,high
paint by sticker kids zoo animals create 10 pictures one sticker at a time,workman publishing,2020,Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8,20182.0,8.0,Non Fiction,77,14,1,1,9.912595944900119,high,high
paint by sticker kids zoo animals create 10 pictures one sticker at a time,workman publishing,2021,Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8,20182.0,8.0,Non Fiction,77,14,1,1,9.912595944900119,high,high
percy jackson and the olympians paperback boxed set books 13,rick riordan,2010,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548.0,2.0,Fiction,63,10,0,1,6.3080984415095305,low,high
peril,bob woodward,2021,Peril,Bob Woodward,4.6,16861.0,15.0,Non Fiction,5,1,0,0,9.732817848482622,middle,high
players handbook dungeons dragons,wizards rpg team,2017,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990.0,27.0,Fiction,38,5,0,0,9.740439071085758,middle,high
players handbook dungeons dragons,wizards rpg team,2018,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990.0,27.0,Fiction,38,5,0,0,9.740439071085758,middle,high
players handbook dungeons dragons,wizards rpg team,2019,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990.0,27.0,Fiction,38,5,0,0,9.740439071085758,middle,high
pokmon deluxe essential handbook the needtoknow stats and facts on over 700 pokmon,scholastic,2016,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503.0,9.0,Fiction,87,13,1,1,8.161660452056282,low,high
prayer journal for women 52 week scripture devotional guided prayer journal,shannon roberts,2020,"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,4.8,39234.0,10.0,Non Fiction,79,12,1,1,10.577324484561574,high,high
principles for dealing with the changing world order why nations succeed and fail,ray dalio,2022,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,4.5,1685.0,21.0,Non Fiction,82,13,1,0,7.430114138561801,low,normal
proof of heaven a neurosurgeons journey into the afterlife,eben alexander,2012,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616.0,10.0,Non Fiction,60,9,1,0,9.519074291124575,middle,normal
proof of heaven a neurosurgeons journey into the afterlife,eben alexander,2013,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616.0,10.0,Non Fiction,60,9,1,0,9.519074291124575,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2009,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2010,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2011,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2012,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2013,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2014,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2015,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2016,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2017,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 6th edition,american psychological association,2018,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580.0,46.0,Non Fiction,73,9,0,1,9.057305735807121,middle,normal
publication manual of the american psychological association 7th edition official 2020 copyright,american psychological association,2021,"Publication Manual of the American Psychological Association: 7th Edition, Official, 2020 Copyright",American Psychological Association,4.8,25374.0,21.0,Non Fiction,99,12,1,1,10.141519716344089,high,high
puppy birthday to you paw patrol little golden book,golden books,2017,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757.0,4.0,Fiction,56,9,0,0,8.467582690862903,low,high
quiet the power of introverts in a world that cant stop talking,susan cain,2012,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009.0,20.0,Non Fiction,65,12,1,0,9.211339872309265,middle,high
quiet the power of introverts in a world that cant stop talking,susan cain,2013,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009.0,7.0,Non Fiction,65,12,1,0,9.211339872309265,middle,high
radical taking back your faith from the american dream,david platt,2010,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985.0,9.0,Non Fiction,55,9,1,0,7.593877844605118,low,high
radical taking back your faith from the american dream,david platt,2011,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985.0,9.0,Non Fiction,55,9,1,0,7.593877844605118,low,high
rage,bob woodward,2020,Rage,Bob Woodward,4.6,33469.0,8.0,Non Fiction,4,1,0,0,10.418404794205372,high,high
rand mcnally 2022 large scale road atlas,rand mcnally,2022,Rand McNally 2022 Large Scale Road Atlas,Rand McNally,4.7,10404.0,17.0,Non Fiction,40,7,0,1,9.250041738827735,middle,high
ready player one a novel,ernest cline,2017,Ready Player One: A Novel,Ernest Cline,4.6,22536.0,12.0,Fiction,25,5,1,0,10.022913682018666,high,high
