title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
eat to live the amazing nutrientrich program for fast and sustained weight loss revised edition,joel fuhrman md,2012,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346.0,9.0,Non Fiction,98,15,1,0,8.75573753930647,low,normal
eclipse twilight,stephenie meyer,2009,Eclipse (Twilight),Stephenie Meyer,4.7,5505.0,18.0,Fiction,18,2,0,0,8.613593685702552,low,high
eclipse twilight sagas,stephenie meyer,2009,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505.0,7.0,Fiction,24,3,0,0,8.613593685702552,low,high
educated a memoir,tara westover,2018,Educated: A Memoir,Tara Westover,4.7,28729.0,15.0,Non Fiction,18,3,1,0,10.265697151973335,high,high
educated a memoir,tara westover,2019,Educated: A Memoir,Tara Westover,4.7,28729.0,15.0,Non Fiction,18,3,1,0,10.265697151973335,high,high
educated a memoir,tara westover,2020,Educated: A Memoir,Tara Westover,4.7,61064.0,13.0,Non Fiction,18,3,1,0,11.019694149605188,high,high
enchanted forest an inky quest and coloring book activity books mindfulness and meditation illustrated floral prints,johanna basford,2015,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413.0,9.0,Non Fiction,121,16,1,0,8.596743470174246,low,high
fahrenheit 451,ray bradbury,2016,Fahrenheit 451,Ray Bradbury,4.6,10721.0,8.0,Fiction,14,2,0,1,9.280052984387483,middle,high
fahrenheit 451,ray bradbury,2018,Fahrenheit 451,Ray Bradbury,4.6,10721.0,8.0,Fiction,14,2,0,1,9.280052984387483,middle,high
fantastic beasts and where to find them the original screenplay harry potter,jk rowling,2016,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370.0,15.0,Fiction,79,12,1,0,8.382747094863314,low,high
fear trump in the white house,bob woodward,2018,Fear: Trump in the White House,Bob Woodward,4.4,6042.0,2.0,Non Fiction,30,6,1,0,8.706655856361559,low,normal
fifty shades darker,e l james,2012,Fifty Shades Darker,E L James,4.4,23631.0,7.0,Fiction,19,3,0,0,10.07035700477116,high,normal
